exp,seed,mu_seed,sigma0,depth,width,B,delta,relmse,train_sec,beta,sigma_inf,mu_box,d,K,steps,batch_size,lr,eval_n,eval_batch,teacher_steps,score_chunk
exp_flow_map_bound,3.0,0.0,0.1,4.0,512.0,0.01,0.06931471805599453,0.003435520047723913,330.2149713039398,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,3.0,0.0,0.1,4.0,512.0,0.1,0.06931471805599453,2.7231855311478104e-05,330.5466375350952,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,3.0,0.0,0.1,4.0,512.0,0.25,0.06931471805599453,1.9957852434735906e-05,330.1721656322479,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,3.0,0.0,0.01,4.0,512.0,0.001,0.06931471805599453,0.9879265807059722,330.0568046569824,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,3.0,0.0,0.01,4.0,512.0,0.01,0.06931471805599453,0.7714535934420118,330.1859185695648,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,3.0,0.0,0.01,4.0,512.0,0.1,0.06931471805599453,0.0071025802934178844,333.9727690219879,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,3.0,0.0,0.01,4.0,512.0,0.25,0.06931471805599453,0.005378403717793519,330.28902220726013,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,3.0,0.0,0.001,4.0,512.0,0.001,0.06931471805599453,0.9999985784587823,329.6738188266754,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,3.0,0.0,0.001,4.0,512.0,0.01,0.06931471805599453,0.9544312580214095,330.04994654655457,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,3.0,0.0,0.001,4.0,512.0,0.1,0.06931471805599453,0.006933320860040393,329.77654218673706,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,3.0,0.0,0.001,4.0,512.0,0.25,0.06931471805599453,0.006712752390670118,330.14510011672974,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,3.0,0.0,0.0001,4.0,512.0,0.001,0.06931471805599453,1.0,330.21500182151794,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,3.0,0.0,0.0001,4.0,512.0,0.01,0.06931471805599453,0.9889538189653851,330.2173550128937,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,3.0,0.0,0.0001,4.0,512.0,0.1,0.06931471805599453,0.0313244710772167,330.62632179260254,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,3.0,0.0,0.0001,4.0,512.0,0.25,0.06931471805599453,0.01852100703952567,330.0723819732666,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,4.0,0.0,0.1,4.0,512.0,0.001,0.06931471805599453,0.9435200122666881,329.69668793678284,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,4.0,0.0,0.1,4.0,512.0,0.01,0.06931471805599453,0.003923729666719175,330.3033380508423,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,4.0,0.0,0.1,4.0,512.0,0.1,0.06931471805599453,2.505881257985603e-05,330.62074875831604,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,4.0,0.0,0.1,4.0,512.0,0.25,0.06931471805599453,1.6112649021741353e-05,330.4339654445648,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,4.0,0.0,0.01,4.0,512.0,0.001,0.06931471805599453,0.9878048704996286,330.0508658885956,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,4.0,0.0,0.01,4.0,512.0,0.01,0.06931471805599453,0.7519435979867178,330.6472716331482,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,4.0,0.0,0.01,4.0,512.0,0.1,0.06931471805599453,0.005969719962512229,330.0170795917511,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,4.0,0.0,0.01,4.0,512.0,0.25,0.06931471805599453,0.007295287894404095,330.40227937698364,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,4.0,0.0,0.001,4.0,512.0,0.001,0.06931471805599453,0.9999975787730282,330.350576877594,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,4.0,0.0,0.001,4.0,512.0,0.01,0.06931471805599453,0.9559794283496397,330.2732937335968,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
