exp,seed,sigma0,depth,width,t,t_frac,relmse,train_sec,beta,mu_box,d,K,steps,batch_size,lr,eval_n,eval_batch,score_chunk
exp_sigma,5.0,0.01,4.0,512.0,0.9,0.9,0.0018631638033314174,42.42201519012451,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,5.0,0.1,4.0,512.0,0.1,0.1,0.007212676388851102,41.833343744277954,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,5.0,0.1,4.0,512.0,0.3,0.3,0.005155921294266592,42.47609829902649,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,5.0,0.1,4.0,512.0,0.5,0.5,0.0028761661029094708,42.626046895980835,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,5.0,0.1,4.0,512.0,0.7,0.7,0.0034054851349018087,42.20522451400757,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,5.0,0.1,4.0,512.0,0.9,0.9,0.0010764324456937393,41.9165825843811,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,5.0,1.0,4.0,512.0,0.1,0.1,0.004219140995018983,41.41064643859863,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,5.0,1.0,4.0,512.0,0.3,0.3,0.0056374542307860735,42.010700702667236,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,5.0,1.0,4.0,512.0,0.5,0.5,0.0030442789846500955,41.5986111164093,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,5.0,1.0,4.0,512.0,0.7,0.7,0.0017747068302315003,41.675339221954346,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,5.0,1.0,4.0,512.0,0.9,0.9,0.0014035520091415445,41.62077069282532,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,6.0,0.01,4.0,512.0,0.1,0.1,0.004562061770651503,41.37611985206604,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,6.0,0.01,4.0,512.0,0.3,0.3,0.0045401467194534,41.79344654083252,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,6.0,0.01,4.0,512.0,0.5,0.5,0.0033519573430778955,41.52634358406067,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,6.0,0.01,4.0,512.0,0.7,0.7,0.0013088656664089157,42.547574043273926,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,6.0,0.01,4.0,512.0,0.9,0.9,0.0022726537701642335,42.03367018699646,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,6.0,0.1,4.0,512.0,0.1,0.1,0.006544209770349158,42.301310539245605,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,6.0,0.1,4.0,512.0,0.3,0.3,0.005567235434988599,42.13813877105713,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,6.0,0.1,4.0,512.0,0.5,0.5,0.003370992665986424,42.56860017776489,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,6.0,0.1,4.0,512.0,0.7,0.7,0.002285206663929915,41.76125979423523,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,6.0,0.1,4.0,512.0,0.9,0.9,0.0020223663080118715,42.5814642906189,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,6.0,1.0,4.0,512.0,0.1,0.1,0.003243590322074139,41.758955240249634,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,6.0,1.0,4.0,512.0,0.3,0.3,0.005235543051540809,41.87029767036438,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,6.0,1.0,4.0,512.0,0.5,0.5,0.003249573864788775,41.45223641395569,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,6.0,1.0,4.0,512.0,0.7,0.7,0.0018845676860897954,42.10561776161194,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,6.0,1.0,4.0,512.0,0.9,0.9,0.0010999305710034106,41.513301610946655,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,7.0,0.01,4.0,512.0,0.1,0.1,0.005937391018909592,43.69791054725647,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
